env_id,model_label,threshold,survival,baseline_survival,survival_delta
Walker2d-v5,klprho0,0.32,0.7850396825396826,0.7850396825396826,0.0
Walker2d-v5,klprho0,0.325,0.7840079365079365,0.7840079365079365,0.0
Walker2d-v5,klprho0,0.33,0.7825873015873016,0.7825873015873016,0.0
Walker2d-v5,klprho0,0.335,0.7817777777777778,0.7817777777777778,0.0
Walker2d-v5,klprho0,0.34,0.7807857142857143,0.7807857142857143,0.0
Walker2d-v5,klprho0,0.34500000000000003,0.7797460317460317,0.7797460317460317,0.0
Walker2d-v5,klprho0,0.35000000000000003,0.7780476190476191,0.7780476190476191,0.0
Walker2d-v5,klprho0,0.355,0.7773730158730159,0.7773730158730159,0.0
Walker2d-v5,klprho0,0.36,0.7761666666666667,0.7761666666666667,0.0
Walker2d-v5,klprho0,0.365,0.7758174603174604,0.7758174603174604,0.0
Walker2d-v5,klprho0,0.37,0.7741746031746032,0.7741746031746032,0.0
Walker2d-v5,klprho0,0.375,0.7733730158730159,0.7733730158730159,0.0
Walker2d-v5,klprho0,0.38,0.7725238095238095,0.7725238095238095,0.0
Walker2d-v5,klprho0,0.385,0.7709444444444444,0.7709444444444444,0.0
Walker2d-v5,klprho0,0.39,0.7694841269841269,0.7694841269841269,0.0
Walker2d-v5,klprho0,0.395,0.7691507936507936,0.7691507936507936,0.0
Walker2d-v5,klprho0,0.4,0.7685714285714286,0.7685714285714286,0.0
Walker2d-v5,klprho0,0.405,0.767547619047619,0.767547619047619,0.0
Walker2d-v5,klprho0,0.41000000000000003,0.7669603174603175,0.7669603174603175,0.0
Walker2d-v5,klprho0,0.41500000000000004,0.766063492063492,0.766063492063492,0.0
Walker2d-v5,klprho0,0.42,0.7650476190476191,0.7650476190476191,0.0
Walker2d-v5,klprho0,0.425,0.7637698412698413,0.7637698412698413,0.0
Walker2d-v5,klprho0,0.43,0.7617698412698413,0.7617698412698413,0.0
Walker2d-v5,klprho0,0.435,0.7604444444444445,0.7604444444444445,0.0
Walker2d-v5,klprho0,0.44,0.7594285714285715,0.7594285714285715,0.0
Walker2d-v5,klprho0,0.445,0.7587857142857143,0.7587857142857143,0.0
Walker2d-v5,klprho0,0.45,0.7576349206349207,0.7576349206349207,0.0
Walker2d-v5,klprho0,0.455,0.7566587301587301,0.7566587301587301,0.0
Walker2d-v5,klprho0,0.46,0.7555793650793651,0.7555793650793651,0.0
Walker2d-v5,klprho0,0.465,0.7536507936507937,0.7536507936507937,0.0
Walker2d-v5,klprho0,0.47000000000000003,0.7523650793650793,0.7523650793650793,0.0
Walker2d-v5,klprho0,0.47500000000000003,0.7504047619047619,0.7504047619047619,0.0
Walker2d-v5,klprho0,0.48,0.7499444444444444,0.7499444444444444,0.0
Walker2d-v5,klprho0,0.485,0.7488492063492063,0.7488492063492063,0.0
Walker2d-v5,klprho0,0.49,0.7475714285714286,0.7475714285714286,0.0
Walker2d-v5,klprho0,0.495,0.7466746031746032,0.7466746031746032,0.0
Walker2d-v5,klprho0,0.5,0.745984126984127,0.745984126984127,0.0
Walker2d-v5,klprho0,0.505,0.7437301587301588,0.7437301587301588,0.0
Walker2d-v5,klprho0,0.51,0.7424285714285714,0.7424285714285714,0.0
Walker2d-v5,klprho0,0.515,0.7415238095238095,0.7415238095238095,0.0
Walker2d-v5,klprho0,0.52,0.7402142857142857,0.7402142857142857,0.0
Walker2d-v5,klprho0,0.525,0.7391666666666666,0.7391666666666666,0.0
Walker2d-v5,klprho0,0.53,0.738015873015873,0.738015873015873,0.0
Walker2d-v5,klprho0,0.535,0.7364841269841269,0.7364841269841269,0.0
Walker2d-v5,klprho0,0.54,0.7351031746031746,0.7351031746031746,0.0
Walker2d-v5,klprho0,0.545,0.732015873015873,0.732015873015873,0.0
Walker2d-v5,klprho0,0.55,0.730468253968254,0.730468253968254,0.0
Walker2d-v5,klprho0,0.555,0.7291666666666667,0.7291666666666667,0.0
Walker2d-v5,klprho0,0.56,0.7281349206349207,0.7281349206349207,0.0
Walker2d-v5,klprho0,0.5650000000000001,0.7266984126984127,0.7266984126984127,0.0
Walker2d-v5,klprho0,0.5700000000000001,0.7249920634920635,0.7249920634920635,0.0
